# D-055(e) canonical findings ledger. ONE ROW PER FINDING ID. Authoritative.
# Every count in every document derives from this file via scripts/check-findings-ledger.sh.
# Columns: id	reviewer	adjudicator	verdict	reviewer_sev	adjudicated_sev	cluster	disposition
R1-F1	R1	R3	CONFIRMED	CRITICAL	CRITICAL	-	REPAIR
R1-F2	R1	R3	CONFIRMED	HIGH	MEDIUM	-	REPAIR
R1-F3	R1	R3	CONFIRMED	MEDIUM	LOW	-	REPAIR
R1-F4	R1	R3	CONFIRMED	LOW	LOW	-	REPAIR
R1-F5	R1	R3	CONFIRMED	LOW	LOW	-	REPAIR
R2-F1	R2	R4	CONFIRMED	HIGH	LOW	-	ACCEPTED-LIMIT
R2-F2	R2	R4	REFUTED	MEDIUM	-	-	NO-ACTION
R2-F3	R2	R4	CONFIRMED	LOW	LOW	-	ACCEPTED-LIMIT
R2-F4	R2	R4	CONFIRMED	MEDIUM	MEDIUM	-	REPAIR
R2-F5	R2	R4	CONFIRMED	MEDIUM	MEDIUM	-	REPAIR
R2-F6	R2	R4	CONFIRMED	INFO	INFO	-	REPAIR
R3-F1	R3	R1	CONFIRMED	MEDIUM	MEDIUM	-	REPAIR
R3-F2	R3	R1	CONFIRMED	MEDIUM	MEDIUM	-	REPAIR
R3-F3	R3	R1	CONFIRMED	MEDIUM	MEDIUM	-	REPAIR
R3-F4	R3	R1	CONFIRMED	MEDIUM	MEDIUM	-	ACCEPTED-LIMIT
R3-F5	R3	R1	CONFIRMED	MEDIUM	MEDIUM	REPAIR-PATTERN	REPAIR
R3-F6	R3	R1	CONFIRMED	MEDIUM	MEDIUM	REPAIR-PATTERN	REPAIR
R3-F7	R3	R1	CONFIRMED	MEDIUM	MEDIUM	REPAIR-PATTERN	REPAIR
R3-F8	R3	R1	CONFIRMED	MEDIUM	MEDIUM	REPAIR-PATTERN	REPAIR
R4-F1	R4	R2	CONFIRMED	MEDIUM	MEDIUM	-	REPAIR
R4-F2	R4	R2	CONFIRMED	LOW	LOW	-	REPAIR
R4-F3	R4	R2	CONFIRMED	MEDIUM	MEDIUM	-	REPAIR
R4-F4	R4	R2	CONFIRMED	MEDIUM	MEDIUM	-	REPAIR
