R5-C-unverified-origin	CONTROL	PASS	origin is local path: /tmp/sentinel-v-d071/head-wt
R5-C-unverified-output	CONTROL	PASS	fast UNVERIFIED (rc=0)
R5-1-fast-varname	REQUIRED	PASS	UNVERIFIED line names SENTINEL_RENAME_GATE_UNVERIFIED_OK rc=0
R5-2-deep-refuse	REQUIRED	PASS	deep no-ack rc=1
R5-3-deep-ack-disclose	REQUIRED	PASS	ack deep rc=0 and disclosure present
R5-C-gh-private	CONTROL	PASS	gh repo view johnrfite1/sentinel visibility=PRIVATE
R5-4-readable-clean	REQUIRED	FAIL	fast rc=0 deep rc=1
R5-C-clone-still-unverified	CONTROL	PASS	pre-gate UNVERIFIED rc=1
V6-COUNT-secrets-C-potency-ls	CONTROL	PASS	unpinned ls listed v-d072-secret.txt
V6-COUNT-secrets-C-potency-scan	CONTROL	PASS	consumer blocked visible v-d072-secret.txt
V6-COUNT-secrets-C-exploit	CONTROL	PASS	unpinned ls omitted v-d072-secret.txt
V6-COUNT-secrets	REQUIRED	PASS	consumer blocked v-d072-secret.txt under COUNT rc=1
V6-COUNT-vendor-C-potency-ls	CONTROL	PASS	unpinned ls listed v-d072-vendor.md
V6-COUNT-vendor-C-potency-scan	CONTROL	PASS	consumer blocked visible v-d072-vendor.md
V6-COUNT-vendor-C-exploit	CONTROL	PASS	unpinned ls omitted v-d072-vendor.md
V6-COUNT-vendor	REQUIRED	PASS	consumer blocked v-d072-vendor.md under COUNT rc=1
V6-GLOBAL-secrets-C-potency-ls	CONTROL	PASS	unpinned ls listed v-d072-secret.txt
V6-GLOBAL-secrets-C-potency-scan	CONTROL	PASS	consumer blocked visible v-d072-secret.txt
V6-GLOBAL-secrets-C-exploit	CONTROL	PASS	unpinned ls omitted v-d072-secret.txt
V6-GLOBAL-secrets-C-potency-ls	CONTROL	PASS	unpinned ls listed v-d072-secret.txt
V6-GLOBAL-secrets-C-potency-scan	CONTROL	PASS	consumer blocked visible v-d072-secret.txt
V6-GLOBAL-secrets-C-exploit	CONTROL	PASS	unpinned ls omitted v-d072-secret.txt
V6-GLOBAL-secrets	REQUIRED	PASS	consumer blocked v-d072-secret.txt under GLOBAL rc=1
V6-GLOBAL-vendor-C-potency-ls	CONTROL	PASS	unpinned ls listed v-d072-vendor.md
V6-GLOBAL-vendor-C-potency-scan	CONTROL	PASS	consumer blocked visible v-d072-vendor.md
V6-GLOBAL-vendor-C-exploit	CONTROL	PASS	unpinned ls omitted v-d072-vendor.md
